
Oct 10 18:39:07 +0000 OX-56195b4b0403e [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b07eee [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4b08e24 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4b07eee [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b08e24 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b0ae33 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b0b1f9 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b0c053 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b0d5e3 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b0f37e [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:07 +0000 OX-56195b4b107e0 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b12818 [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:07 +0000 OX-56195b4b146ec [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4b14b24 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4b146ec [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b17936 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4b17936 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b18e0b [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b1d2b1 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4b1fe02 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b23b65 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4b23b65 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b259e7 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4b259e7 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b26281 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b290b3 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4b290b3 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b2ab15 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b2e3c4 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b31496 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4b2ee09 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b2f6cd [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b376e1 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4b365d5 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b376e1 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b392f0 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4b392f0 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b3cfdd [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:07 +0000 OX-56195b4b3db3d [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b3db3d [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b42415 [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:07 +0000 OX-56195b4b432ca [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:07 +0000 OX-56195b4b448cf [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b44e6e [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b4802e [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4b4733f [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:07 +0000 OX-56195b4b47ad7 [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:07 +0000 OX-56195b4b4b991 [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:07 +0000 OX-56195b4b4f0a1 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4b4d8b6 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b4c8b5 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b5098b [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4b4f0a1 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b5098b [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b537de [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b5747a [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b642b3 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4b622c3 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b65a92 [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4b63f9d [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b642b3 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b6766d [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:07 +0000 OX-56195b4b65a92 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
Oct 10 18:39:07 +0000 OX-56195b4b68fcf [  warning]  in_array() expects parameter 2 to be array, null given
Oct 10 18:39:07 +0000 OX-56195b4b6c629 [  warning]  mysql_close() expects parameter 1 to be resource, null given
Oct 10 18:39:07 +0000 OX-56195b4b6bc47 [  warning]  mysql_fetch_assoc() expects parameter 1 to be resource, boolean given
